# path	base	head	patch_count
art	7f2b48980eaa3e9ebeb3fe2df55ae4beb96f8248	70edec040ae3fcee67de5f497614f7110a195fb3	2
bionic	3a003876ad043c5280e0fbb334e8d17c3d941bfc	f0abd0b66ae263d4b12018a285c5c447e1150d48	9
build/make	4fdba55d8946e7ede6d54422770b9bce45590924	7a4350d43dacffa104d0e870d49748d4ef5c77da	2
build/soong	570eaae5ca6125203ebecc8795ab407e7d843bae	a1d78590189fe5c8edd6c0c690b983d0acc8dbf7	1
external/e2fsprogs	f6638bb5b7e01259e02112744c08ed6874f4e470	c03900b3f7247981f4f0e768cfd5bdf288964143	1
frameworks/av	18186d8f9b4dcaff242ae9ea9b74e6827f14a1cc	d386f41c90b53de58db814f3afdce48acae649af	11
frameworks/base	557ec5dffbd8464d054931f890c1b51a0b76039b	d2d1d34403aa92a1f2a31364f2bae12ea72679c2	1
frameworks/native	103c04dc9ff92585765f9076959be684351064c3	3804c142675cdc6fb3c7dbfc3df907433881bfcf	9
hardware/libhardware	90e3ce2014c258736729a8da929f76d50dc19255	9ac5435fac5e2a607909f73813bb9693896af0f4	3
system/core	d9e9c75fee6ff48a6cffbdfd727cb8f74ce39dd5	0e5b3ab86ac24f358e11f5369ecc73dde56f70a9	17
system/hwservicemanager	9ed41f25fd3be8b51fd31b5d0c1223c754d437c4	9160d7ccf6cbf82bf217fb439dbb477cc6dd0c5b	1
system/libhwbinder	02d1280bbc31e6a95f677a1ad8858778587c8102	e161180057bc9f838f0219d85feadc09b7a97ed0	1
system/linkerconfig	935f98a97b2e225cc515f2c4fcfec978ea2fa523	37321b97a57bf25bb6691c9489949b72ed7cbfd1	1
system/vold	85ffd688e91103bdfad15353bc807d1133def876	48a323c23fd3d722005ac01390df09e5a47d536c	2
