# path	name	patch_count	original_head	published_head
art	Lcryolite/android_art	2	70edec040ae3fcee67de5f497614f7110a195fb3	70edec040ae3fcee67de5f497614f7110a195fb3
bionic	Lcryolite/android_bionic	9	f0abd0b66ae263d4b12018a285c5c447e1150d48	f0abd0b66ae263d4b12018a285c5c447e1150d48
build/make	Lcryolite/android_build	2	7a4350d43dacffa104d0e870d49748d4ef5c77da	7a4350d43dacffa104d0e870d49748d4ef5c77da
build/soong	Lcryolite/android_build_soong	1	a1d78590189fe5c8edd6c0c690b983d0acc8dbf7	a1d78590189fe5c8edd6c0c690b983d0acc8dbf7
external/e2fsprogs	Lcryolite/android_external_e2fsprogs	1	c03900b3f7247981f4f0e768cfd5bdf288964143	c03900b3f7247981f4f0e768cfd5bdf288964143
frameworks/av	Lcryolite/android_frameworks_av	11	d386f41c90b53de58db814f3afdce48acae649af	d386f41c90b53de58db814f3afdce48acae649af
frameworks/base	Lcryolite/android_frameworks_base	1	d2d1d34403aa92a1f2a31364f2bae12ea72679c2	d46b623b60d9dcf1496b0e131433d92f09853c89
frameworks/native	Lcryolite/android_frameworks_native	9	3804c142675cdc6fb3c7dbfc3df907433881bfcf	3804c142675cdc6fb3c7dbfc3df907433881bfcf
hardware/libhardware	Lcryolite/android_hardware_libhardware	3	9ac5435fac5e2a607909f73813bb9693896af0f4	9ac5435fac5e2a607909f73813bb9693896af0f4
system/core	Lcryolite/android_system_core	17	0e5b3ab86ac24f358e11f5369ecc73dde56f70a9	2aedd07dfd2c6321b87b37d3ec3911f9d626c155
system/hwservicemanager	Lcryolite/android_system_hwservicemanager	1	9160d7ccf6cbf82bf217fb439dbb477cc6dd0c5b	9160d7ccf6cbf82bf217fb439dbb477cc6dd0c5b
system/libhwbinder	Lcryolite/android_system_libhwbinder	1	e161180057bc9f838f0219d85feadc09b7a97ed0	e161180057bc9f838f0219d85feadc09b7a97ed0
system/linkerconfig	Lcryolite/android_system_linkerconfig	1	37321b97a57bf25bb6691c9489949b72ed7cbfd1	37321b97a57bf25bb6691c9489949b72ed7cbfd1
system/vold	Lcryolite/android_system_vold	2	48a323c23fd3d722005ac01390df09e5a47d536c	48a323c23fd3d722005ac01390df09e5a47d536c
