# sequence	patch_id	original_commit	published_commit
01	9f867452d9ef057d2ef172e1b4e3c4bb57e559c5	9cf343f02121afed89d757bc9a21d987a10d1eb2	38317dca7e66a586e12261380931deaea53262bc
02	ad7fbde94428b72501e20227d79d32792536fd83	e6bfc40edc1b7795292a29e474c9132cae69a1ba	fcc5896cb4103ab083342968924b1ecbe2c99f30
03	ab3bce7eff7d9f83bd2fe1bc96562cc7a477324e	b8d37bd91e666fe721815251cfca3b0b9e8fc216	4eb6a2796de9c36dc6f389df3634a370e76b7d23
04	2efe38a741855f0a80d544c46c7e52d3f83e1453	36365abeaf30a5839a2489e5cb0c8d45d866069d	fa09ac6c330b7bab529fe51a8d9ec33d2ff54576
05	618837181320d2478167c6c009141a7d0ce1a45a	b6957bca23f86223ded55e89db69cc87493318d7	3521230900bf05bf3de67d6d5187da44863e23f2
06	510ec79bd37d762415acbb7f3d57970eb676b61a	3e7122a04b0db0af3021e949ee1a40b13f5e7b32	86cbebd2efb66b2179c64cc81e61e9aeff4191c3
07	02640c7c1bb8f008db1d366bd4381ab8a63f87b3	4c02200b697bb6b3b649605d7463fc130b746460	9bf8f7481926de2eabc75001fa70dbcd93c5544c
08	fd7c74e9a52c92aaaad2b8796a371374ab67a6a3	2e29e20ec2282a3a48148e9cce3502aef71ee6d2	5768c22ff1c16b5066a4069b8f2e1909c66c6290
09	bae44b13d75d3a449128dbd85ca2cea92d5409b1	b4b09fd8ad9860dff82ffc47a3b2b3e87f97879a	8c40b2ded171129690b269ac2a0b2d0dfc531f36
10	dd40f781fef59757ca1148034eab095eb9cb73fd	dde38c2307bb8b55ff01561fff40c0d05939c41b	e8917c6ef200370d5ab1d35f0367e73c5b2fc20d
11	1e218dd0365b0333807c0b691ee4f4f4e1958bf9	c803f56f12b30f722158d11fb9f3d0dbe5a79dd0	6bd4cf1fe60ae1f3b3e57338c71aa519ae60dff6
12	1c776ddf6b498da1202e73a89bfc77e66f0c7139	b08382509df38d3c4390c492dee87fc1fe289844	0f96b7aaf206e0c5884a5f737d2faaa0e914929c
13	a5ec8addc68e5308bf05643c516b4760ccdf78e6	33fb5ce1644d1849159202808c165d19f6c5c0f9	2c18f50d258ee497f803a308606a1e62f65f4e56
14	540fe5880f9bf0643e4adb8a3939836fb06cc26f	d52a593fc2ff74143d8e536ea04bb676b02c14ee	792ec635c32813bd8d023118fe8723b9a6368c68
15	3abd5e54dc37c795bdb98380263312368a36b1eb	7bcd9765cf315c14efc08ce2154d674168cf9b4c	731fcc461a495910773b93255a2f4bf4e1746e24
16	6164cf3dadf3371e927a5f5c6b582468bc76edd5	e5766a54705bc654d7230b11740669f407c981da	9b01c53904eadba6d16e8c709ba3971da52a02fa
17	a102134fc94574f1b4fcd4936263ec268e2a773a	0e5b3ab86ac24f358e11f5369ecc73dde56f70a9	2aedd07dfd2c6321b87b37d3ec3911f9d626c155
